split,kelas,nama_file,path,ekstensi,ukuran_file_kb,width,height,aspect_ratio,mode,format,brightness,contrast,sharpness,corrupt,error,md5
train,biological,biological_1.jpg,..\data\split\train\biological\biological_1.jpg,.jpg,7.4794921875,259,194,1.3350515463917525,RGB,JPEG,136.6869336199233,55.48827975839193,2244.5727083015067,False,,eb50feb27d88c5b1c5bff86db574959b
train,biological,biological_100.jpg,..\data\split\train\biological\biological_100.jpg,.jpg,10.93359375,259,194,1.3350515463917525,RGB,JPEG,98.43134445196301,71.69630072488445,2954.968869945681,False,,ff8d67f71f4cac204417e65ffcce34c3
train,biological,biological_101.jpg,..\data\split\train\biological\biological_101.jpg,.jpg,12.2421875,299,168,1.7797619047619047,RGB,JPEG,82.83963741572437,59.082669564778996,5766.572493852682,False,,b0f7d147c381be0a3b95b81ec9b71fe6
train,biological,biological_103.jpg,..\data\split\train\biological\biological_103.jpg,.jpg,7.5517578125,225,225,1.0,RGB,JPEG,211.40569547325103,73.84228701715382,2327.914920014973,False,,a13f3538aa16847ebfed304f55d78306
train,biological,biological_104.jpg,..\data\split\train\biological\biological_104.jpg,.jpg,9.2529296875,300,168,1.7857142857142858,RGB,JPEG,108.79445105820106,64.90404062190979,2300.2631636428414,False,,f9c863a2b22b45d6f5ad7d629f6c466d
train,biological,biological_105.jpg,..\data\split\train\biological\biological_105.jpg,.jpg,13.638671875,277,182,1.521978021978022,RGB,JPEG,140.42068340804803,70.71167017154892,5262.909425254249,False,,0d1178d8333fb8789a964e6764c6c539
train,biological,biological_106.jpg,..\data\split\train\biological\biological_106.jpg,.jpg,9.0546875,195,259,0.752895752895753,RGB,JPEG,123.18130218130219,61.45946887517203,2585.3927953445864,False,,389758614dc07ec0e05905e562479ca9
train,biological,biological_107.jpg,..\data\split\train\biological\biological_107.jpg,.jpg,9.02734375,225,225,1.0,RGB,JPEG,69.94781893004115,57.19475019593533,2694.743975233044,False,,4c9132ec48d855672aaad0f320914c28
train,biological,biological_108.jpg,..\data\split\train\biological\biological_108.jpg,.jpg,2.92578125,256,197,1.299492385786802,RGB,JPEG,226.21532624788495,63.44198325146678,1374.3651555096799,False,,3c6388ffcb9e3dcd37aecfd2a146625f
train,biological,biological_109.jpg,..\data\split\train\biological\biological_109.jpg,.jpg,4.0302734375,273,184,1.483695652173913,RGB,JPEG,146.4769536019536,78.89473459715964,1507.33972903552,False,,94674b4841612d719d0c365e63d507e6
train,biological,biological_11.jpg,..\data\split\train\biological\biological_11.jpg,.jpg,8.3994140625,227,222,1.0225225225225225,RGB,JPEG,53.74208569803284,86.13154080365932,1788.6098663285775,False,,2b0a951beb147f0a54093f678adc2d35
train,biological,biological_112.jpg,..\data\split\train\biological\biological_112.jpg,.jpg,7.453125,246,205,1.2,RGB,JPEG,115.41273051754908,69.86788625719548,1972.8915863663708,False,,f1dba96c027b3c80d8a359a10040c7b8
train,biological,biological_113.jpg,..\data\split\train\biological\biological_113.jpg,.jpg,7.28515625,294,171,1.719298245614035,RGB,JPEG,108.93866942488496,58.17131614065918,1630.2244635424447,False,,d4927a14d694e00ba12bb6924597135a
train,biological,biological_114.jpg,..\data\split\train\biological\biological_114.jpg,.jpg,5.23828125,274,184,1.4891304347826086,RGB,JPEG,163.4777121019782,37.49114416990739,807.413577797797,False,,4d05d02ef9e5f37dfcdd3d705d80682a
train,biological,biological_115.jpg,..\data\split\train\biological\biological_115.jpg,.jpg,5.2568359375,225,225,1.0,RGB,JPEG,90.11920329218107,50.21159467650723,615.6051435140739,False,,d75db3f5a73dfa04d04054ce344f2b2b
train,biological,biological_116.jpg,..\data\split\train\biological\biological_116.jpg,.jpg,10.8505859375,259,194,1.3350515463917525,RGB,JPEG,113.23613156602848,56.96470134856248,3719.2024018000684,False,,b405e329f9c5196d158dc13f739a8551
train,biological,biological_119.jpg,..\data\split\train\biological\biological_119.jpg,.jpg,8.771484375,275,183,1.5027322404371584,RGB,JPEG,154.79034277198213,62.69265237513763,2270.57145848991,False,,fff3418b26be83655929c521f36b1a86
train,biological,biological_12.jpg,..\data\split\train\biological\biological_12.jpg,.jpg,9.580078125,300,168,1.7857142857142858,RGB,JPEG,80.22338624338624,53.20523162866919,2309.4687062925173,False,,b147c2b7778f537e47323221d5b66833
train,biological,biological_120.jpg,..\data\split\train\biological\biological_120.jpg,.jpg,13.3857421875,299,168,1.7797619047619047,RGB,JPEG,111.54801720019111,68.51320589093501,5373.575725755841,False,,505620daf305b59c32b2d6171c5dddf9
train,biological,biological_121.jpg,..\data\split\train\biological\biological_121.jpg,.jpg,4.806640625,302,167,1.8083832335329342,RGB,JPEG,127.07403735575207,52.37466847970669,492.2291659558927,False,,d1535692a2d4f10beef7e737c9ff14c2
train,biological,biological_122.jpg,..\data\split\train\biological\biological_122.jpg,.jpg,6.3037109375,275,183,1.5027322404371584,RGB,JPEG,150.92940553071702,74.30722134217024,1577.3173207589318,False,,51b35b6f512fc6e5f25c13d2277ea964
train,biological,biological_124.jpg,..\data\split\train\biological\biological_124.jpg,.jpg,12.13671875,300,168,1.7857142857142858,RGB,JPEG,147.62296957671958,74.78391064381171,4522.964758276644,False,,dc2caa4eeb922df65530442e54e65244
train,biological,biological_125.jpg,..\data\split\train\biological\biological_125.jpg,.jpg,7.837890625,225,225,1.0,RGB,JPEG,162.25611851851852,86.07210565105113,4145.701665731443,False,,d4f4659949da4245571057a8f74a21b9
train,biological,biological_126.jpg,..\data\split\train\biological\biological_126.jpg,.jpg,16.1640625,275,183,1.5027322404371584,RGB,JPEG,89.29770491803279,68.60509325141102,7069.310591295081,False,,8f68e4365ee3affad99d6decbdd72672
train,biological,biological_127.jpg,..\data\split\train\biological\biological_127.jpg,.jpg,7.8251953125,259,194,1.3350515463917525,RGB,JPEG,105.69696426912921,90.56956941547276,2437.1944817918643,False,,3d587c0e87badc15cc97439ddb38ce38
train,biological,biological_129.jpg,..\data\split\train\biological\biological_129.jpg,.jpg,10.3984375,276,183,1.5081967213114753,RGB,JPEG,116.80502098677437,87.23711952470049,3576.324774573613,False,,91c980c899fbb541ba428e4336eae814
train,biological,biological_131.jpg,..\data\split\train\biological\biological_131.jpg,.jpg,5.94921875,194,259,0.749034749034749,RGB,JPEG,115.64770661677878,55.22156732934606,941.1175138653768,False,,95efad59434dd714cedc696e09ca8dd3
train,biological,biological_132.jpg,..\data\split\train\biological\biological_132.jpg,.jpg,8.193359375,338,149,2.2684563758389262,RGB,JPEG,92.80425055928411,69.28823967454481,1710.3680881291932,False,,07373726b6a28f247b75558e7ad091de
train,biological,biological_133.jpg,..\data\split\train\biological\biological_133.jpg,.jpg,5.4150390625,225,225,1.0,RGB,JPEG,104.17733004115226,61.4691141232208,1179.862257447682,False,,84bb3bd3210f2344da03686206002b1a
train,biological,biological_134.jpg,..\data\split\train\biological\biological_134.jpg,.jpg,6.6796875,284,177,1.6045197740112995,RGB,JPEG,112.98659186758972,58.70051942418106,1741.907189945381,False,,8266ce9d9b12057323332bee2ce0b034
train,biological,biological_136.jpg,..\data\split\train\biological\biological_136.jpg,.jpg,9.8271484375,300,168,1.7857142857142858,RGB,JPEG,154.94541666666666,75.50661068696044,2967.8136851847917,False,,7aecdf2ee8551eb638b6e8c6208d4f34
